menu_id,Name
1,Kids Menu
2,Lunch Menu
3,Dinner Menu
4,Happy Hour Menu
5,Seasonal Menu
6,Chefs Special Menu
7,Tasting Menu
8,Drinks Menu
9,Cocktail Menu
10,Wine Menu
11,Beer Menu
12,Vegan Menu
13,Vegetarian Menu
14,Gluten-Free Menu
15,Allergen-Free Menu
16,Low-Carb Menu
17,Low-Calorie Menu
18,High-Protein Menu
19,Keto Menu
20,Paleo Menu
21,Holiday Menu
22,Thanksgiving Menu
23,Christmas Menu
24,New Year Menu
25,Easter Menu
26,Valentine’s Menu
27,Mother’s Day Menu
28,Father’s Day Menu
29,Fourth of July Menu
30,Weekend Brunch Menu
31,Midweek Special Menu
32,Late Night Menu
33,Afternoon Tea Menu
34,Buffet Menu
35,À la Carte Menu
36,Prix Fixe Menu
37,Set Menu
38,Mini Menu
39,Snack Menu
40,Bistro Menu
41,Grill Menu
42,Barbecue Menu
43,Seafood Menu
44,Steakhouse Menu
45,Italian Menu
46,Mexican Menu
47,Chinese Menu
48,Japanese Menu
49,Thai Menu
50,Indian Menu
51,French Menu
52,Greek Menu
53,Mediterranean Menu
54,American Menu
55,Fusion Menu
56,Rustic Menu
57,Gourmet Menu
58,Fine Dining Menu
59,Casual Dining Menu
60,Family Menu
61,Express Menu
62,Takeout Menu
63,Delivery Menu
64,Drive-Thru Menu
65,Pickup Menu
66,Online Order Menu
67,Mobile Order Menu
68,Special Events Menu
69,Birthday Menu
70,Anniversary Menu
71,Corporate Menu
72,Catering Menu
73,Banquet Menu
74,Outdoor Menu
75,Patio Menu
76,Poolside Menu
77,Room Service Menu
78,Hotel Menu
79,Spa Menu
80,Wellness Menu
81,Detox Menu
82,Smoothie Menu
83,Juice Menu
84,Coffee Menu
85,Tea Menu
86,Bakery Menu
87,Pastry Menu
88,Ice Cream Menu
89,Sundae Menu
90,Frozen Dessert Menu
91,Comfort Food Menu
92,Street Food Menu
93,Tapas Menu
94,Appetizer Menu
95,Soup Menu
96,Salad Menu
97,Sandwich Menu
98,Pizza Menu
99,Pasta Menu
100,Noodle Menu
101,Rice Menu
102,Grain Bowl Menu
103,Sushi Menu
104,Dim Sum Menu
